id,category,service,business_name,contact_name,phone,address,website,notes,keywords,created_at,updated_at,updated_by
97,Home Repair & Trades,Window Coverings,3 Day Blinds,,8007001860,,https://www.3dayblinds.com/locations/tx/san-antonio,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
33,Health Care & Specialists,Dental,7‑To‑7 Dental (Alamo Ranch),,2105380777,"11841 Alamo Ranch Pkwy Ste 106, San Antonio, Tx 78253",https://www.7to7dental.com,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
117,Landscaping & Outdoor Services,Pest Control,A-Bear Pest Control,,2106503200,"12702 Toepperwein Rd #233, Live Oak, Tx 78233",https://abearpestcontrol.com/,Prompt & thorough,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
71,Home Repair & Trades,Garage Doors,A1 Garage Door Service,Joshua,2106605420,"114 N Ellison Dr, Suite 406, San Antonio, Tx 78251",https://a1garage.com/locations/tx/sanantonio/,"Army vet, great service",,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
87,Home Repair & Trades,Plumbing,"Ads Plumbing, LLC",Danny Stephens,2102876409,"101 County Rd 4511, Hondo, Tx 78861",,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
121,Landscaping & Outdoor Services,Yard Cleanup,Aj,Aj,2109070399,,,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
88,Home Repair & Trades,Plumbing,Akm Plumbing,Adrian Moreno,8302121313,,,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
133,Pet Care,Veterinary,Alamo Ranch Animal Hospital,Dr. Shannon; Dr. Gaines,2105387484,"6820 Alamo Pkwy Ste 118, San Antonio, Tx 78253",http://alamoranchvets.com/,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
32,Health Care & Specialists,Dental,Alamo Ranch Family Dentistry,Dr. Sarah Tovar,2108982688,"11840 Alamo Ranch Pkwy Ste 90, San Antonio, Tx 78253",https://www.alamoranchfamilydentistry.com,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
31,Health Care & Specialists,Dental,Alamo Springs Dental,,2104639339,"11590 Galm Rd Ste 109, San Antonio, Tx 78254",https://www.alamospringsdental.com,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
120,Landscaping & Outdoor Services,Weed & Feed,Alamo Turf Works,,2103712125,"2303 Abadeer Trl San Antonio, Tx 78253",https://alamoturfworks.com/,Beautiful results,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
6,Auto Services,Mobile Wash,Albert,Albert,2103921085,,,Amazing job,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
18,Electrical,Electrician,All Star Electric,,2103910274,"5911 Rittiman Plaza Bldg 1, Sa",https://www.allstarelectric-sa.com/,Military discount,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
102,Landscaping & Outdoor Services,Artificial Turf,Always Green Synthetic Lawns,,2104131034,"22211 W I-10, Suite 1206, San Antonio, Tx 78257",https://www.alwaysgreen-texas.com/,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
67,Home Repair & Trades,Flooring,Atlas Flooring,,2104442039,10242 West Loop 1604 N San Antonio Tx,https://www.atlasfloors.com/,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
26,Health Care & Specialists,Audiology,Audionova Audiology,Dr Rogers Johns,2106140100,"5282 Medical Drive ,suite 150",https://hearlifeagain.alpacaaudiology.com/meet-the-team/roger-johns/,Excellent diagnostician,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
150,Landscaping & Outdoor Services,Tree Removal,Bare Nature Tree Surgeons LLC,,2105404669,,https://www.barenaturetree.com/,Free estimates 24/7,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
127,Pet Care,Mobile Grooming,Barkin Beautiful,Martina Martinez,2106061528,,https://www.barkinbeautiful.com/,,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
152,Tree Services,Tree Removal,Bartlett Tree Experts,Luke Zinmeister,2016554670,"13115 Lookout Run, San Antonio, Tx 78233","https://www.bartlett.com/locations/San-Antonio-TX.cfm | 13115 Lookout Run, San Antonio, TX 78233",Emergency svc avail,,2025-10-04 12:52:59,2025-10-04T09:54:43+00:00,Randy
