id,category,service,business_name,contact_name,phone,address,website,notes,keywords,created_at,updated_at,updated_by,computed_keywords
97,Home Repair & Trades,Window Coverings,3 Day Blinds,,(800) 700-1860,,https://www.3dayblinds.com/locations/tx/san-antonio,,,2025-10-04 12:52:59,2025-10-12T10:23:58,Randy,home repair trades window coverings day blinds shutters shades plantation drapes
33,Health Care & Specialists,Dental,7‑To‑7 Dental (Alamo Ranch),,(210) 538-0777,"11841 Alamo Ranch Pkwy Ste 106, San Antonio, Tx 78253",https://www.7to7dental.com,,,2025-10-04 12:52:59,2025-10-12T10:23:50,Randy,health care specialists dental to alamo ranch dentist teeth cleaning fillings crown
117,Landscaping / Trees / Lawn Services,Pest Control / Exterminator,A-Bear Pest Control,,(210) 650-3200,"12702 Toepperwein Rd #233, Live Oak, Tx 78233",https://abearpestcontrol.com/,Prompt & Thorough,,2025-10-04 12:52:59,2025-10-12T10:24:01,Randy,landscaping trees lawn services pest control exterminator bear
71,Home Repair & Trades,Garage Doors,A1 Garage Door Service,Joshua,(210) 660-5420,"114 N Ellison Dr, Suite 406, San Antonio, Tx 78251",https://a1garage.com/locations/tx/sanantonio/,"Army Vet, Great Service",,2025-10-04 12:52:59,2025-10-12T10:23:55,Randy,home repair trades garage doors a1 door service overhead opener springs panel
87,Home Repair & Trades,Plumbing,"Ads Plumbing, Llc",Danny Stephens,(210) 287-6409,"101 County Rd 4511, Hondo, Tx 78861",,,,2025-10-04 12:52:59,2025-10-12T10:23:57,Randy,home repair trades plumbing ads llc plumber leak water heater drain sewer pipe toilet faucet
121,Landscaping / Trees / Lawn Services,Yard Cleanup / Junk Removal,Aj,Aj,(210) 907-0399,,,,,2025-10-04 12:52:59,2025-10-12T10:24:01,Randy,landscaping trees lawn services yard cleanup junk removal aj
88,Home Repair & Trades,Plumbing,Akm Plumbing,Adrian Moreno,(830) 212-1313,,,,,2025-10-04 12:52:59,2025-10-12T10:23:57,Randy,home repair trades plumbing akm plumber leak water heater drain sewer pipe toilet faucet
133,Pet Care,Veterinary Clinic / Animal Hospital,Alamo Ranch Animal Hospital,Dr. Shannon; Dr. Gaines,(210) 538-7484,"6820 Alamo Pkwy Ste 118, San Antonio, Tx 78253",http://alamoranchvets.com/,,,2025-10-04 12:52:59,2025-10-12T10:24:03,Randy,pet care veterinary clinic animal hospital alamo ranch
32,Health Care & Specialists,Dental,Alamo Ranch Family Dentistry,Dr. Sarah Tovar,(210) 898-2688,"11840 Alamo Ranch Pkwy Ste 90, San Antonio, Tx 78253",https://www.alamoranchfamilydentistry.com,,,2025-10-04 12:52:59,2025-10-12T10:23:50,Randy,health care specialists dental alamo ranch family dentistry dentist teeth cleaning fillings crown
31,Health Care & Specialists,Dental,Alamo Springs Dental,,(210) 463-9339,"11590 Galm Rd Ste 109, San Antonio, Tx 78254",https://www.alamospringsdental.com,,,2025-10-04 12:52:59,2025-10-12T10:23:50,Randy,health care specialists dental alamo springs dentist teeth cleaning fillings crown
